customer_id,first_name,last_name,state,first_touch,signup_channel_category,plan,signup_channel,campaign_id,signup_date
c10029,Tiffany,Hickerson,MO,referral,Paid,bronze,paid search,CAM002,2021-02-09
c1003,Harriet,Thomas,NJ,social,Organic,silver,Direct,CAM018,2020-04-29
c10030,Sherry,Pruitt,NJ,social,Organic,silver,Organic Search,CAM031,2021-02-09
c10031,Beverly,Knox,NJ,referral,Paid,gold,Other,CAM001,2021-02-09
c10032,Christopher,Dickson,NY,social,Organic,silver,Direct,CAM006,2021-02-10
c10033,Richard,Weske,NJ,referral,Organic,silver,Direct,,2021-02-10
c10034,Valarie,Maltas,NJ,social,Organic,silver,Direct,,2021-02-10
c10035,Cedrick,Luong,NJ,referral,Organic,silver,Referral,,2021-02-10
c10036,Adam,Morgan,NJ,social,Organic,silver,Direct,,2021-02-10
c10037,Mary,Mcnutt,NY,social,Organic,silver,Organic Search,,2021-02-10
c10038,Dorothy,Rogers,NJ,marketplace,Organic,silver,Direct,,2021-02-10
c10039,Effie,Saxbury,NJ,social,Organic,silver,Referral,,2021-02-11
c1004,Tom,Claar,NJ,social,Paid,gold,paid search,,2020-04-29
c10040,Jessica,Bailey,NY,social,Organic,silver,Direct,,2021-02-11
c10041,Rosemary,Downs,NJ,referral,Organic,silver,Direct,,2021-02-11
c10042,Douglas,Beckum,MD,referral,Paid,silver,paid search,,2021-02-11
c10043,Diane,Huntington,NJ,social,Paid,gold,paid search,,2021-02-12
c10044,Shirley,Davis,NJ,social,Organic,silver,Organic Search,,2021-02-12
c10045,Robyn,Nasers,NJ,social,Paid,gold,Partner Referral,,2021-02-12
c10046,Oliver,Lange,IA,social,Organic,silver,Direct,,2021-02-12
c10047,Carmen,Luce,NJ,social,Paid,silver,paid search,,2021-02-13
c10048,Shannon,Lopez,NJ,social,Organic,silver,Direct,,2021-02-13
c10049,Amy,Turner,ND,social,Paid,silver,paid search,,2021-02-13
c1005,Raymond,Bignall,NJ,referral,Paid,silver,paid search,,2020-04-29
c10050,Anthony,Davis,NJ,social,Organic,silver,Direct,,2021-02-13
c10051,Audrey,Willmore,NJ,referral,Organic,silver,Direct,,2021-02-13
c10052,Michael,Letchworth,WI,social,Organic,silver,Direct,,2021-02-13
c10053,Lee,Alexander,NJ,referral,Organic,silver,Direct,,2021-02-14
c10054,Norma,Herbert,NJ,social,Organic,silver,Organic Search,,2021-02-14
c10055,David,Mullin,NJ,social,Organic,silver,Direct,,2021-02-14
c10056,Joseph,Messersmith,MT,referral,Organic,silver,Direct,,2021-02-15
c10057,Brandon,Coleman,NC,social,Paid,gold,paid search,,2021-02-15
c10058,Ryan,Lomas,NJ,social,Organic,silver,Direct,,2021-02-15
c10059,Mary,Robinson,NJ,social,Organic,silver,Direct,,2021-02-15
c1006,Richard,Damour,IA,referral,Paid,silver,paid search,,2020-04-30
c10060,Dale,Moreno,TN,social,Paid,gold,paid search,,2021-02-15
c10061,Jeffrey,Walker,NJ,referral,Paid,gold,paid search,,2021-02-15
c10062,James,Carter,NJ,marketplace,Organic,silver,Direct,,2021-02-15
c10063,Felica,Phipps,SC,social,Organic,silver,Direct,,2021-02-16
c10064,Scott,Coleman,OK,social,Organic,silver,Direct,,2021-02-16
c10065,Michael,Covarrubias,NJ,marketplace,Organic,silver,Direct,,2021-02-16
c10066,Enoch,Demars,NJ,social,Organic,silver,Referral,,2021-02-16
c10067,Ronald,Mercado,NJ,referral,Paid,bronze,paid search,,2021-02-16
c10068,Bertha,Byers,NJ,social,Organic,silver,Direct,CAM018,2021-02-16
c10069,Cody,Cox,NJ,referral,Organic,silver,Organic Search,CAM001,2021-02-16
c1007,Scott,Thompson,SC,social,Paid,gold,Other,CAM031,2020-04-30
c10070,Karen,Collins,NJ,social,Paid,gold,paid search,CAM031,2021-02-16
c10071,Amy,Edward,CO,referral,Paid,silver,paid search,CAM009,2021-02-16
c10072,David,Staton,GA,referral,Organic,silver,Referral,CAM030,2021-02-16
c10073,Andrew,Rahn,NJ,social,Organic,silver,Organic Search,CAM018,2021-02-16
c10074,Lottie,Nasers,WA,social,Organic,silver,Direct,CAM030,2021-02-17
c10075,Deanna,Pritchett,NJ,social,Organic,silver,Direct,CAM023,2021-02-17
c10076,Roy,Gaeta,NY,social,Organic,silver,Direct,CAM018,2021-02-17
c10077,Elsie,Pearson,NJ,email,Organic,silver,Direct,CAM002,2021-02-17
c10078,Glenda,Martinie,NJ,social,Paid,gold,paid search,CAM001,2021-02-17
c10079,Patsy,Brown,NJ,social,Paid,gold,paid search,CAM031,2021-02-17
c1008,Angie,Shelton,CT,referral,Paid,silver,paid search,CAM031,2020-04-30
c10080,Samuel,Kubie,SC,referral,Paid,silver,paid search,CAM030,2021-02-18
c10081,Erika,Turner,NJ,social,Organic,silver,Organic Search,CAM033,2021-02-18
c10082,Brandon,Salinas,NJ,social,Organic,silver,Direct,CAM031,2021-02-18
c10083,Alison,Yates,NJ,referral,Organic,silver,Direct,CAM018,2021-02-18
c10084,Shelly,Leath,NJ,referral,Paid,bronze,paid search,CAM030,2021-02-18
c10085,William,Mccoy,NJ,social,Organic,silver,Organic Search,CAM020,2021-02-20
c10086,Thomas,Sullivan,NJ,social,Organic,silver,Organic Search,CAM031,2021-02-20
c10087,Ralph,Martin,OH,referral,Paid,silver,paid search,CAM031,2021-02-21
c10088,Donna,Gomez,ND,social,Organic,silver,Direct,CAM018,2021-02-21
c10089,Cheryl,Bowling,IA,social,Organic,silver,Direct,CAM018,2021-02-21
c1009,Robert,Decambra,WA,social,Paid,gold,paid search,CAM031,2020-04-30
c10090,Erma,Miller,NJ,referral,Paid,silver,paid search,CAM020,2021-02-21
c10091,Lance,Mcwilliams,IA,social,Paid,silver,paid search,CAM031,2021-02-21
c10092,Steven,Sons,NJ,social,Paid,gold,SEO,CAM004,2021-02-21
c10093,Florence,Cuozzo,NJ,marketplace,Organic,silver,Direct,CAM004,2021-02-22
c10094,Maria,Mack,NJ,referral,Organic,silver,Direct,CAM001,2021-02-19
c10095,Joseph,Young,NJ,social,Organic,silver,Organic Search,CAM031,2021-02-19
c10096,Roy,Lewis,NJ,referral,Organic,silver,Organic Search,CAM001,2021-02-20
c10097,Mary,Mascorro,PA,social,Paid,silver,paid search,CAM031,2021-02-22
c10098,Candice,Ramirez,PA,referral,Organic,silver,Direct,CAM002,2021-02-22
c10099,Cynthia,Bower,NY,social,Organic,silver,provider partner,CAM006,2021-02-23
c101,James,Allmand,NJ,social,Organic,silver,Social,CAM030,2019-01-27
c1010,Gordon,Groomes,NJ,direct,Organic,silver,Social,CAM033,2020-04-30
c10100,Amy,Green,NY,social,Organic,silver,Direct,CAM004,2021-02-23
c10101,Alan,Dearing,NJ,referral,Organic,silver,Organic Search,CAM031,2021-02-23
c10102,Joshua,Kim,WA,referral,Paid,silver,paid search,CAM018,2021-02-23
c10103,Hedwig,Mckinney,NJ,marketplace,Organic,silver,Referral,CAM006,2021-02-23
c10104,Betty,Mclaughlin,IA,social,Organic,silver,Organic Search,CAM033,2021-02-23
c10105,Dexter,Rogers,CO,social,Organic,silver,Organic Search,CAM018,2021-02-24
c10106,Juanita,Larson,NJ,social,Organic,silver,Direct,CAM031,2021-02-24
c10107,Victor,Oldham,NY,referral,Organic,silver,Direct,CAM001,2021-02-24
c10108,Cynthia,Hanneman,NV,social,Paid,silver,paid search,CAM009,2021-02-24
c10109,Betty,Caylor,NJ,social,Organic,silver,Direct,CAM018,2021-02-24
c1011,Melanie,Carr,NJ,social,Organic,silver,Organic Search,CAM006,2020-04-30
c10110,Esther,Rueb,NJ,social,Organic,silver,Direct,CAM030,2021-02-24
c10111,Christine,Belcher,NC,referral,Organic,silver,Direct,CAM020,2021-02-25
c10112,Ruth,Leonard,MI,social,Organic,silver,Social,CAM018,2021-02-25
c10113,Julianna,Barnes,VA,referral,Organic,silver,Organic Search,CAM018,2021-02-25
c10114,Dorothy,Thomas,WA,social,Paid,silver,paid search,CAM032,2021-02-25
c10115,Nettie,Raderstorf,NJ,social,Organic,silver,Direct,CAM025,2021-02-25
c10116,Rosalee,Deblauw,ND,social,Organic,silver,Direct,CAM031,2021-02-25
c10117,Jennifer,Sobers,NJ,social,Organic,silver,Referral,CAM031,2021-02-26
c10118,Angelica,Boyce,NJ,referral,Paid,bronze,paid search,CAM002,2021-02-26
c10119,Patricia,Brown,PA,referral,Paid,gold,mobile app,CAM004,2021-02-26
c1012,Betty,Vizcaino,NJ,social,Organic,silver,Direct,CAM018,2020-04-30
c10120,Nancy,Scheerer,WA,referral,Organic,silver,Social,CAM033,2021-02-26
c10121,Amber,Brown,NJ,social,Paid,silver,paid search,CAM030,2021-02-26
c10122,Eric,Decastro,NY,social,Paid,silver,paid search,CAM031,2021-02-27
c10123,Todd,Tressler,CO,social,Organic,silver,Referral,CAM031,2021-02-27
c10124,Barbara,Darbonne,NJ,referral,Organic,silver,Direct,CAM004,2021-02-27
c10125,Johnny,Cervantes,SC,direct,Organic,silver,Social,CAM020,2021-02-27
c10126,Linda,Andreas,MO,social,Organic,silver,Direct,CAM002,2021-02-28
c10127,Robert,Patterson,NJ,social,Organic,silver,Organic Search,CAM018,2021-02-28
c10128,Kevin,Ducharme,NY,direct,Organic,silver,Organic Search,CAM033,2021-02-28
c10129,Laurence,Bauer,MI,referral,Organic,silver,Referral,CAM006,2021-02-28
c1013,Jerry,Reed,GA,referral,Paid,silver,paid search,CAM031,2020-04-30
c10130,Shannon,Guerra,NJ,referral,Paid,bronze,paid search,CAM002,2021-02-28
c10131,Victor,Osbeck,NH,referral,Organic,silver,Organic Search,CAM031,2021-03-01
c10132,Matthew,Brummer,MO,social,Organic,silver,Organic Search,CAM020,2021-03-01
c10133,Ira,Platt,NJ,marketplace,Paid,gold,paid social,CAM004,2021-03-01
c10134,Nancy,Lack,NC,social,Paid,gold,paid search,CAM031,2021-03-02
c10135,Albert,Hobson,NY,social,Organic,silver,Direct,CAM018,2021-03-02
c10136,Bridget,Jones,NJ,referral,Organic,silver,Direct,CAM006,2021-03-02
c10137,John,Bethel,MT,referral,Paid,gold,paid search,CAM031,2021-03-02
c10138,Pamela,Tyler,NJ,referral,Organic,silver,Direct,CAM004,2021-03-02
c10139,Wendell,Polich,VT,social,Organic,silver,Organic Search,CAM018,2021-03-03
c1014,Nicole,Perrington,NJ,social,Organic,silver,Direct,CAM018,2020-04-30
c10140,David,Pham,NC,social,Organic,silver,Direct,CAM018,2021-03-03
c10141,Shanna,Mayes,NJ,referral,Organic,silver,Direct,CAM002,2021-03-02
c10142,Lakisha,Cosenza,MT,social,Organic,silver,Direct,CAM004,2021-03-03
c10143,Junko,Harris,NJ,social,Organic,silver,Referral,CAM020,2021-03-03
c10144,Sandra,Borst,CA,social,Organic,silver,Referral,CAM006,2021-03-03
c10145,Matilda,Shelton,OH,direct,Organic,silver,Direct,CAM020,2021-03-03
c10146,Deborah,Munoz,NJ,referral,Paid,silver,paid search,CAM020,2021-03-05
c10147,Alexis,Shears,NJ,social,Organic,silver,Referral,CAM018,2021-03-05
c10148,Jeanne,Bailey,NJ,referral,Paid,gold,paid search,CAM031,2021-03-05
c10149,Emily,Rich,NJ,social,Paid,gold,Other,CAM004,2021-03-05
c1015,Andrew,Weaver,SC,social,Organic,silver,ZocDoc Ad,CAM020,2020-04-30
c10150,Ted,Miller,OH,social,Organic,silver,Direct,CAM030,2021-03-05
c10151,Andrew,Mclain,NJ,social,Organic,silver,Direct,CAM030,2021-03-06
c10152,Patrick,Crane,NJ,referral,Organic,silver,Direct,CAM006,2021-03-06
c10153,Santa,Sotelo,NJ,referral,Organic,silver,Direct,CAM004,2021-03-06
c10154,Thomas,Hofer,NJ,referral,Paid,gold,SEO,CAM004,2021-03-06
c10155,Terri,Boyd,NJ,social,Organic,silver,Direct,CAM006,2021-03-06
c10156,Angela,Mikolajczyk,NJ,referral,Paid,silver,paid search,CAM020,2021-03-07
c10157,Josefina,Rivera,OH,social,Paid,silver,paid search,CAM018,2021-03-07
c10158,Patricia,Wilson,WA,social,Organic,silver,Referral,CAM020,2021-03-07
c10159,Samuel,Hornick,IA,direct,Organic,silver,Referral,CAM033,2021-03-07
c1016,Judy,Ferguson,MT,social,Paid,silver,paid search,CAM031,2020-04-30
c10160,James,Riley,NJ,social,Organic,silver,Direct,CAM022,2021-03-04
c10161,Mary,Wells,NJ,referral,Organic,silver,Direct,CAM004,2021-03-04
c10162,James,Alexander,MT,referral,Organic,silver,Direct,CAM004,2021-03-04
c10163,Steven,Rosales,MO,social,Paid,gold,paid search,CAM030,2021-03-05
c10164,John,Williams,OK,marketplace,Organic,silver,Direct,CAM030,2021-03-05
c10165,Scott,Weissgerber,NC,social,Organic,silver,Organic Search,CAM018,2021-03-05
c10166,Melissa,Rhodes,WA,social,Paid,silver,paid search,CAM031,2021-03-05
c10167,Karen,Clarke,NJ,social,Paid,silver,paid search,CAM020,2021-03-05
c10168,Jimmy,Horne,NY,social,Organic,silver,Direct,CAM018,2021-03-05
c10169,Doyle,Dowden,SC,social,Organic,silver,Social,CAM033,2021-03-07
c1017,Kenneth,Hiatt,NJ,social,Paid,gold,paid search,CAM031,2020-04-30
c10170,Joseph,Wineland,GA,referral,Organic,silver,Organic Search,CAM018,2021-03-07
c10171,Nora,Little,IL,social,Paid,gold,paid search,CAM030,2021-03-07
c10172,Silvia,Bonilla,NJ,marketplace,Organic,silver,Direct,CAM004,2021-03-07
c10173,Vera,Abron,NJ,referral,Organic,silver,Direct,CAM031,2021-03-08
c10174,Annie,Stallworth,NJ,social,Organic,silver,Direct,CAM018,2021-03-08
c10175,Marie,Reyes,NJ,social,Organic,silver,Direct,CAM006,2021-03-08
c10176,Josephine,Moore,PA,social,Paid,silver,paid search,CAM018,2021-03-08
c10177,John,Young,MO,social,Organic,silver,Referral,CAM031,2021-03-09
c10178,David,Yuro,VT,social,Organic,silver,Organic Search,CAM018,2021-03-09
c10179,Marty,Wiener,NJ,referral,Organic,silver,Direct,CAM004,2021-03-09
c1018,Iris,Ortega,VI,social,Organic,silver,Social,CAM031,2020-05-01
c10180,Larry,Schwartz,NJ,referral,Organic,silver,Direct,CAM030,2021-03-10
c10181,Robert,Barnes,VI,referral,Paid,gold,Partner Referral,CAM018,2021-03-11
c10182,Peggy,Mccain,CO,referral,Paid,silver,paid search,CAM031,2021-03-11
c10183,Christine,Olsen,NJ,marketplace,Organic,silver,Direct,CAM004,2021-03-11
c10184,Mildred,Pace,NJ,referral,Organic,silver,Direct,CAM004,2021-03-11
c10185,Jeff,Heffner,Maryland,referral,Organic,silver,Organic Search,CAM018,2021-03-11
c10186,Geneva,Trapp,PA,marketplace,Paid,gold,SEO,CAM004,2021-03-11
c10187,Rachel,Veloz,NJ,social,Organic,silver,Direct,CAM031,2021-03-11
c10188,Veronica,Doty,NJ,social,Organic,silver,Referral,CAM031,2021-03-11
c10189,Marjorie,Kinder,ND,social,Organic,silver,Social,CAM020,2021-03-12
c1019,Nelson,Fishman,GA,social,Organic,silver,Direct,CAM030,2020-05-01
c10190,Joe,Anderson,NJ,referral,Paid,gold,paid search,CAM006,2021-03-12
c10191,Mary,Carter,NJ,social,Organic,silver,Direct,CAM033,2021-03-12
c10192,Evangelina,Olson,NJ,social,Organic,silver,Direct,CAM010,2021-03-12
c10193,Janine,Burnsworth,WV,direct,Organic,silver,Organic Search,CAM020,2021-03-12
c10194,Anita,Gerstner,ND,referral,Organic,silver,Referral,CAM022,2021-03-12
c10195,Anna,Desanctis,NJ,social,Organic,silver,Organic Search,CAM014,2021-03-13
c10196,David,Reed,NJ,referral,Paid,gold,paid search,CAM001,2021-03-13
c10197,Maria,Williams,MO,referral,Organic,silver,Direct,CAM030,2021-03-14
c10198,Floyd,Stewart,NY,marketplace,Organic,silver,Direct,CAM004,2021-03-14
c10199,Helen,Simmons,IA,social,Organic,silver,Direct,CAM018,2021-03-14
c102,Sonia,Brandt,GA,social,Paid,gold,paid search,CAM031,2019-01-28
c1020,Aaron,Benavidez,NJ,social,Organic,silver,Social,CAM006,2020-05-01
c10200,Denise,Pfaff,CO,referral,Paid,silver,paid search,CAM018,2021-03-15
c10201,John,Bell,MO,social,Organic,silver,Direct,CAM024,2021-03-15
c10202,Ronald,Mcginnis,NJ,marketplace,Paid,gold,Other,CAM004,2021-03-16
c10203,Kenneth,Gonzales,PA,referral,Organic,silver,Direct,CAM018,2021-03-15
c10204,Elizabeth,Alexander,NY,social,Organic,silver,Organic Search,CAM018,2021-03-15
c10205,Sharon,White,NJ,social,Organic,silver,Referral,CAM033,2021-03-15
c10206,Anderson,Brady,NY,social,Paid,silver,paid search,CAM031,2021-03-16
c10207,William,Barron,NJ,social,Organic,silver,Direct,CAM031,2021-03-16
c10208,Brian,Godsey,WA,social,Organic,silver,Organic Search,CAM018,2021-03-16
c10209,Gary,Cecere,NY,referral,Organic,silver,Direct,CAM001,2021-03-16
c1021,Cynthia,Dwyer,OK,referral,Paid,bronze,paid search,CAM031,2020-05-01
c10210,Evelyn,Dobbins,NJ,referral,Organic,silver,Direct,CAM018,2021-03-16
c10211,Mark,Anderson,NJ,referral,Organic,silver,Organic Search,CAM018,2021-03-16
c10212,Patrick,Rupp,ND,social,Organic,silver,Organic Search,CAM031,2021-03-16
c10213,Nancy,Washington,NJ,social,Paid,gold,SEO,CAM004,2021-03-17
c10214,Sandra,Moya,ND,referral,Paid,silver,paid search,CAM025,2021-03-17
c10215,Rodney,Brown,NJ,marketplace,Organic,silver,Direct,CAM004,2021-03-19
c10216,Andrew,Lindholm,NJ,email,Organic,silver,Direct,CAM002,2021-03-19
c10217,Mable,Bernardi,MT,referral,Paid,silver,paid search,CAM025,2021-03-19
c10218,Desmond,Boyd,ND,social,Organic,silver,Direct,CAM031,2021-03-20
c10219,Janet,Williams,NJ,referral,Organic,silver,Direct,CAM022,2021-03-20
c1022,Selena,Rodriguez,NJ,referral,Paid,bronze,paid search,CAM002,2020-05-01
c10220,Leon,Martinez,NJ,social,Organic,silver,Referral,CAM020,2021-03-20
c10221,Michael,Brooks,NJ,referral,Organic,silver,Social,CAM018,2021-03-20
c10222,Brandi,Cortez,NJ,social,Paid,gold,paid search,CAM031,2021-03-20
c10223,Harry,Donati,ND,social,Organic,silver,Organic Search,CAM018,2021-03-21
c10224,Teofila,Thomas,GA,social,Organic,silver,Direct,CAM018,2021-03-21
c10225,Anneliese,Sage,NJ,social,Paid,silver,paid search,CAM031,2021-03-21
c10226,Elvira,Harris,NJ,referral,Paid,silver,paid search,CAM009,2021-03-21
c10227,Henry,Schwartz,NJ,social,Organic,silver,Direct,CAM030,2021-03-21
c10228,Andrea,Hicks,NJ,social,Organic,silver,Direct,CAM018,2021-03-21
c10229,Robin,Mccoy,NY,social,Paid,bronze,paid search,CAM002,2021-03-18
c1023,John,Yengo,ND,social,Organic,silver,Organic Search,CAM031,2020-05-01
c10230,Howard,Hollingsworth,GA,social,Organic,silver,Direct,CAM018,2021-03-18
c10231,Brandi,Luedtke,NJ,referral,Organic,silver,Organic Search,CAM018,2021-03-18
c10232,Brandon,Beard,NJ,social,Organic,silver,Social,CAM018,2021-03-18
c10233,Howard,Powell,NJ,social,Paid,bronze,paid search,CAM031,2021-03-18
c10234,Angela,Gentile,OK,social,Paid,silver,paid search,CAM009,2021-03-19
c10235,Max,Roach,VA,social,Organic,silver,Direct,CAM030,2021-03-19
c10236,Kathy,Delrio,VT,social,Organic,silver,Organic Search,CAM017,2021-03-19
c10237,Thomas,Wood,NJ,social,Organic,silver,Direct,CAM018,2021-03-19
c10238,William,Portillo,NJ,marketplace,Paid,gold,SEO,CAM004,2021-03-19
c10239,Christine,Preece,NC,referral,Paid,gold,paid search,CAM031,2021-03-19
c1024,Donald,Stiles,NJ,social,Organic,silver,Direct,CAM006,2020-05-01
c10240,Leslie,Reddick,TN,social,Paid,silver,paid search,CAM031,2021-03-19
c10241,Ashley,Copeland,ND,social,Paid,bronze,paid search,CAM002,2021-03-19
c10242,Shirley,Tanenbaum,NJ,marketplace,Paid,gold,SEO,CAM004,2021-03-19
c10243,Marilyn,Creed,NJ,social,Organic,silver,Direct,CAM020,2021-03-21
c10244,Kathryn,Mckinney,GA,social,Organic,silver,Organic Search,CAM031,2021-03-22
c10245,Derrick,Demirchyan,NY,referral,Organic,silver,Direct,CAM004,2021-03-22
c10246,George,Dewey,NJ,social,Paid,silver,paid search,CAM010,2021-03-22
c10247,Vicki,Mueller,NJ,social,Organic,silver,Direct,CAM018,2021-03-22
c10248,Wanda,Reynolds,NJ,social,Paid,gold,paid search,CAM031,2021-03-22
c10249,Andrew,James,NY,referral,Paid,gold,SEO,CAM004,2021-03-22
c1025,Gina,Lepore,NJ,referral,Paid,gold,paid search,CAM031,2020-05-01
c10250,Vivian,Taylor,SC,referral,Paid,silver,paid social,CAM031,2021-03-23
c10251,Thomas,Prindle,NJ,referral,Paid,gold,SEO,CAM004,2021-03-23
c10252,Seth,Harris,NJ,social,Organic,silver,Organic Search,CAM020,2021-03-23
c10253,Mary,Brett,NJ,social,Organic,silver,Direct,CAM030,2021-03-23
c10254,Floyd,Greene,NJ,referral,Organic,silver,Direct,CAM004,2021-03-23
c10255,Chris,Robertson,NY,social,Organic,silver,Referral,CAM018,2021-03-23
c10256,Beatrice,Downey,NJ,social,Organic,silver,Direct,CAM018,2021-03-23
c10257,John,Perry,IN,social,Paid,gold,paid search,CAM018,2021-03-24
c10258,Heather,Bellamy,WA,marketplace,Paid,gold,SEO,CAM004,2021-03-24
c10259,Bradley,Swaim,VA,referral,Organic,silver,Organic Search,CAM018,2021-03-24
c1026,Don,Mcgranor,NY,social,Organic,silver,Direct,CAM030,2020-05-01
c10260,Sharon,Hixson,NJ,referral,Organic,silver,Direct,CAM030,2021-03-24
c10261,Stacey,Ardrey,GA,referral,Organic,silver,Direct,CAM020,2021-03-24
c10262,Jennifer,Pearson,IA,social,Organic,silver,Direct,CAM018,2021-03-25
c10263,Joan,Jones,IA,referral,Paid,silver,paid search,CAM018,2021-03-25
c10264,Patricia,Kemp,NJ,social,Organic,silver,Direct,CAM030,2021-03-25
c10265,Maryanne,Foust,CO,social,Organic,silver,Organic Search,CAM018,2021-03-25
c10266,David,Mcculloch,NJ,direct,Paid,silver,paid search,CAM030,2021-03-25
c10267,Larry,Arnold,ND,referral,Paid,bronze,paid search,CAM002,2021-03-25
c10268,Denyse,Delia,NJ,referral,Organic,silver,Referral,CAM018,2021-03-25
c10269,Megan,Hoerner,NJ,referral,Paid,silver,paid search,CAM006,2021-03-25
c1027,Anthony,Conner,NJ,referral,Organic,silver,Direct,CAM030,2020-05-01
c10270,Kathryn,Mckelvey,SC,referral,Organic,silver,Organic Search,CAM031,2021-03-26
c10271,Jason,Reynoldson,NJ,marketplace,Organic,silver,Direct,CAM004,2021-03-26
c10272,Julie,Crosby,NJ,social,Paid,gold,paid search,CAM031,2021-03-26
c10273,Joe,Chester,NJ,social,Organic,silver,Organic Search,CAM018,2021-03-26
c10274,Noel,Matos,NJ,direct,Organic,silver,Direct,CAM030,2021-03-26
c10275,Anita,Carson,NJ,social,Paid,gold,paid search,CAM031,2021-03-26
c10276,William,Moore,NJ,referral,Paid,silver,paid search,CAM020,2021-03-27
c10277,Andrew,Meyers,OH,social,Organic,silver,Organic Search,CAM018,2021-03-27
c10278,Eugene,Sorrell,NJ,referral,Paid,silver,paid search,CAM031,2021-03-27
c10279,Gloria,Biancuzzo,NY,referral,Organic,silver,Direct,CAM030,2021-03-28
c1028,Joseph,Greene,NJ,social,Paid,gold,paid search,CAM031,2020-05-01
c10280,Jose,Wright,SC,referral,Organic,silver,Referral,CAM001,2021-03-28
c10281,Christine,May,OK,social,Organic,silver,Direct,CAM018,2021-03-29
c10282,Geraldine,White,NY,social,Paid,silver,paid search,CAM020,2021-03-29
c10283,Carl,Clevenger,NJ,social,Paid,gold,paid search,CAM031,2021-03-29
c10284,Claudia,Wesler,NJ,social,Organic,silver,Organic Search,CAM018,2021-03-29
c10285,Bob,Spencer,NJ,referral,Organic,silver,Referral,CAM006,2021-03-29
c10286,William,Conaway,WA,referral,Organic,silver,Direct,CAM004,2021-03-30
c10287,Walter,Ellis,NJ,social,Organic,silver,Direct,CAM030,2021-03-31
c10288,Rhonda,Wise,NJ,referral,Paid,gold,paid search,CAM031,2021-03-31
c10289,Graciela,Pimentel,NY,social,Organic,silver,Direct,CAM018,2021-03-31
c1029,Travis,Blood,SC,referral,Organic,silver,Organic Search,CAM031,2020-05-01
c10290,Frank,Tallarico,NC,social,Organic,silver,Direct,CAM018,2021-03-31
c10291,Heidy,Kulcona,NJ,social,Paid,silver,paid search,CAM014,2021-03-31
c10292,Charlie,Hickman,NJ,social,Paid,gold,paid search,CAM031,2021-03-31
